Company,First_Name,Last_Name,Email,Domain,License
JOURNEY CRAFT UGANDA SAFARIS,,,journeycraftugandasafaris@gmail.com,,UTB/RTT/TO/2026/102208
Joyride Tours and Travel,,,info@jungleexperiencesafaris.com,jungleexperiencesafaris.com,UTB/RTT/TO/2023/100660
KALINJU TOUR & TRAVEL,,,byamukamainnocent@gmail.com,,UTB/RTT/TO/2026/102374
KEDRACE TOURS & TRAVEL,,,kanyesigyekedrace@gmail.com,,UTB/RTT/TO/2026/102406
Khatha Travel and Safaris,,,bookings@khathasafaris.com,khathasafaris.com,UTB/RTT/TO/2025/102027
kimed eco tours,,,info@kimedecotours.com,kimedecotours.com,UTB/RTT/TO/2024/101254
Meanda Uganda,,,nick.brant@meandauganda.com,meandauganda.com,UTB/RTT/TO/2023/100694
MERANGORILLA TOURS AND LUXURY SAFARIS LIMITED,,,merangorillaluxurysafaris@gmail.com,,UTB/RTT/TO/2026/102238
MIZIZI AFRICA TOURS,,,david504david@gmail.com,,UTB/RTT/TO/2026/102297
MONTEERO SAFARIS,,,monteerosafaris@gmail.com,,UTB/RTT/TO/2022/100546
NDEGE SAFARIS,,,ndegesafari@gmail.com,,UTB/RTT/TO/2026/102348
NOK AFRICA WONDERS,,,noksafarisafrica@gmail.com,,UTB/RTT/TO/2026/102320
Northern Nature Safaris Limited,,,northernnaturesafaris@gmail.com,,UTB/RTT/TO/2019/00187
Euro World Africa Tours Limited,,,account.kla@euro-world.in,euro-world.in,UTB/RTT/TO/2023/100791
OCHE WILD ESCAPE COMPANY,,,ochewildescapecompanylimited@gmail.com,,UTB/RTT/TO/2025/102042
OKRA SAFARIS,,,info@okrasafaris.com,okrasafaris.com,UTB/RTT/TO/2024/101118
OLIVE SAFARIS UGANDA,,,info@olivesafari.com,olivesafari.com,UTB/RTT/TO/2026/102240
One Nature tours,,,aatif.a@haliburg.com,haliburg.com,UTB/RTT/TO/2025/101938
Outdoorsy Uganda,,,info@outdoorsyuganda.com,outdoorsyuganda.com,UTB/RTT/TO/2025/101858
Pakasa Tours and Safaris SMC limited,,,info@pakasatoursandsafaris.com,pakasatoursandsafaris.com,UTB/RTT/TO/2024/101007
HOOVES OF AFRICA SAFARIS,,,info@photosafarisuganda.com,photosafarisuganda.com,UTB/RTT/TO/2024/101063
PRIVATE LABEL BUSINESS EVENTS LIMITED,,,keruweka@plbe.info,plbe.info,UTB/RTT/TO/2026/102335
Quaint Africa Safaris,,,quaintafricasafaris@gmail.com,,UTB/RTT/TO/2024/100949
QUEEN OF EAST AFRICA LUXURY TOURS,,,dianah@qeensafaris.com,qeensafaris.com,UTB/RTT/TO/2026/102282
Red Chilli Hideaway Ltd,,,reservations@redchillihideaway.com,redchillihideaway.com,UTB/RTT/TO/2021/00399
SAFARI 62,,,director@safari62.com,safari62.com,UTB/RTT/TO/2025/102135
SPA EXPLORERS LIMITED,,,keruweka@safaripartners-africa.com,safaripartners-africa.com,UTB/RTT/TO/2026/102334
SPARKLE TOURS AND TRAVEL,,,sparkletoursandtravel@gmail.com,,UTB/RTT/TO/2024/101381
SPECTACULAR SAFARIS UGANDA,,,spectacularsafarisuganda@gmail.com,,UTB/RTT/TO/2024/101355
Sunseekers Tours & Travel,,,info@sunseekerstours.com,sunseekerstours.com,UTB/RTT/TO/2021/001055
Trek Rwenzori Tours Ltd,,,trekrwenzori@gmail.com,,UTB/RTT/TO/2020/00593
Trumpet adventure safaris ltd,,,trumpetadventures6@gmail.com,,UTB/RTT/TO/2022/100323
Gorilla Fist Vacations,,,info@ugandagorillavacations.com,ugandagorillavacations.com,UTB/RTT/TO/2025/101892
WONDER WHEELS TOURS AND TRAVEL UGANDA,,,info@ugandatoursandtravel.com,ugandatoursandtravel.com,UTB/RTT/TO/2025/102006
USOKE EXPLORERS,,,usokeexplorers@gmail.com,,UTB/RTT/TO/2024/101174
VELD AND VENTURES SAFARIS,,,veldnventuresafaris@gmail.com,,UTB/RTT/TO/2026/102345
Elephant Whispers Safaris,,,elephantwhisperssafaris@gmail.com,,UTB/RTT/TO/2024/101140
WILD AND CLASSIC SAFARI,,,info@wildandclassicsafaris.com,wildandclassicsafaris.com,UTB/RTT/TO/2025/101853
Wild Uganda,,,wildugandasafari@gmail.com,,UTB/RTT/TO/2025/101831
KIBALE FOREST ADVENTURES,,,alexkwasa@gmail.com,,UTB/RTT/TO/2024/101437
Kuzora Safaris Limited,,,kuzorasafaritours@gmail.com,,UTB/RTT/TO/2025/101852
4X4 Adventures Uganda,,,info@4x4adventures.com,4x4adventures.com,UTB/RTT/TO/2025/101849
56AFRICA TOURS,,,info@56africatours.com,56africatours.com,UTB/RTT/TO/2024/101476
Able Safaris,,,info@ablesafaris.com,ablesafaris.com,UTB/RTT/TO/2021/00586
About Africa Limited,,,amanda@about-africa.com,about-africa.com,UTB/RTT/TO/2019/0025
Abunda Discoveries Uganda,,,abundadiscoveriesuganda1@gmail.com,,UTB/RTT/TO/2024/101086
ACP Safaris,,,operation.acp@gmail.com,,UTB/RTT/TO/2024/101192
ADIRA SAFARIS LIMITED,,,reservationsadirasafaris@gmail.com,,UTB/RTT/TO/2026/102181
Adroa Travels - SMC limited,,,info@adroa-travels.com,adroa-travels.com,UTB/RTT/TO/2022/100345
ADVENTURE CONSULTS,,,sales@adventureconsults.com,adventureconsults.com,UTB/RTT/TO/2020/00694
Simba African Expeditions Limited,,,info@africa-expeditions.com,africa-expeditions.com,UTB/RTT/TO/2020/00374
Africa Adventure Vacations,,,info@africaadventurevacations.com,africaadventurevacations.com,UTB/RTT/TO/2021/100023
Africa Beyond Borders,,,info@africabeyondborders.com,africabeyondborders.com,UTB/RTT/TO/2022/100249
Africa Moja Safaris Limited,,,info@africamojasafaris.com,africamojasafaris.com,UTB/RTT/TO/2025/101609
AFRICAN ANIMALS TOURS AND TRAVEL,,,africananimalstoursandtravel@gmail.com,,UTB/RTT/TO/2025/101859
Africa Nature Holidays Limited,,,info@africanatureholidays.com,africanatureholidays.com,UTB/RTT/TO/2022/100331
African Dawn Safaris,,,africandawnsafari@gmail.com,,UTB/RTT/TO/2019/00321
African Escapades,,,africanescapades@outlook.com,,UTB/RTT/TO/2024/100948
African Moments Safaris,,,africanmomentssafaris@gmail.com,,UTB/RTT/TO/2022/100590
African Safari Trails,,,info@africansafaritrails.com,africansafaritrails.com,UTB/RTT/TO/2023/100718
African White Rhino Safaris.,,,dan.lule2016@gmail.com,,UTB/RTT/TO/2021/00403
African Pearl Safaris,,,info@africanpearlsafaris.com,africanpearlsafaris.com,UTB/RTT/TO/2022/100376
ROSAMY AFRICA SAFARIS TOURS & TRAVEL LTD,,,info@africasafaristours.com,africasafaristours.com,UTB/RTT/TO/2025/101959
Sights and Sounds of Africa Safaris Limited,,,africasightsandsounds@gmail.com,,UTB/RTT/TO/2019/00108
Afrigaze Uganda Safaris,,,info@afrigazeugandasafaris.com,afrigazeugandasafaris.com,UTB/RTT/TO/2025/101743
Ajuna Tours and Travel,,,ajunatransporters2005@gmail.com,,UTB/RTT/TO/2022/100159
ALBOYD TOURS AND TRAVEL,,,alboydtoursandtravel@gmail.com,,UTB/RTT/TO/2022/100486
Albrieux Africa Tours (Uganda) Limited,,,info@albrieuxafricatours.com,albrieuxafricatours.com,UTB/RTT/TO/2019/00455
ALIVE AFRICA ADVENTURES,,,aliveafricaadventures@gmail.com,,UTB/RTT/TO/2024/101075
ALLIED CAR HIRE AND TRANSPORTATION,,,alliedcarhire@gmail.com,,UTB/RTT/TO/2023/100720
All in Africa Safaris,,,info@allinafricasafaris.com,allinafricasafaris.com,UTB/RTT/TO/2021/001063
Alpha Rent a Car,,,alphabetarentals@gmail.com,,UTB/RTT/TO/2022/100301
AMATSIKO TOURS,,,amatsikotoursandtravel@gmail.com,,UTB/RTT/TO/2025/101531
AMITY SAFARIS,,,info@amitysafaris.com,amitysafaris.com,UTB/RTT/TO/2025/101969
ANEMEL TOURS AND TRAVEL LIMITED,,,info@anemeltours.com,anemeltours.com,UTB/RTT/TO/2025/101649
Ancient Africa Safaris,,,info@ancientafricasafaris.com,ancientafricasafaris.com,UTB/RTT/TO/2022/100628
Angara Tours and Travel Company,,,info@angaratours.com,angaratours.com,UTB/RTT/TO/2022/100350
Antique Safari Adventures,,,antiquesadventures@gmail.com,,UTB/RTT/TO/2023/100736
APES BOOKING VACATIONS,,,info@apesbookingvacations.com,apesbookingvacations.com,UTB/RTT/TO/2024/100973
Ape Treks,,,info@apetreks.com,apetreks.com,UTB/RTT/TO/2022/100225
AROMA HOLIDAYS,,,aromaholdings4@gmail.com,,UTB/RTT/TO/2024/101133
Around Africa Safaris,,,reservations@aroundafricasafari.com,aroundafricasafari.com,UTB/RTT/TO/2019/00129
Asyanut Safaris & Incentives,,,info@mice-uganda.com,mice-uganda.com,UTB/RTT/TO/2021/00329
AUGUST VOYAGE SAFARIS,,,augustvoyagesafaris@gmail.com,,UTB/RTT/TO/2024/101259
Aura Safaris Africa,,,Albert@Aurasafaisafrica.com,aurasafaisafrica.com,UTB/RTT/TO/2022/100619
BAHEKA TRAVELS,,,bahekatravel@gmail.com,,UTB/RTT/TO/2023/100709
Bamboo Ecotours,,,info@bambooecotours.com,bambooecotours.com,UTB/RTT/TO/2022/100224
BANURA SAFARIS UGANDA,,,info@banurasafaris.com,banurasafaris.com,UTB/RTT/TO/2023/100822
BANYWANI SAFARIS UGANDA,,,info@banywanisafaris.com,banywanisafaris.com,UTB/RTT/TO/2024/101269
BERENGEI AFRICA SAFARIS,,,info@berengeiafricasafaris.com,berengeiafricasafaris.com,UTB/RTT/TO/2025/101854
Best Of Africa Adventures Limited,,,info@bestofafricaadventures.com,bestofafricaadventures.com,UTB/RTT/TO/2022/100161
B&H RAFIKI TOURS LIMITED,,,director@bhrafikitours.com,bhrafikitours.com,UTB/RTT/TO/2025/101722
Bic Tours Limited,,,info@bic-tours.com,bic-tours.com,UTB/RTT/TO/2020/00372
BIG APES AFRICA,,,bigapesafrica@gmail.com,,UTB/RTT/TO/2022/100330
BIGODI AFRICA EXPEDITIONS,,,info@bigodiafricaexpeditions.com,bigodiafricaexpeditions.com,UTB/RTT/TO/2024/101181
BIG PREDATORS TOURS,,,info@bigpredatorstours.com,bigpredatorstours.com,UTB/RTT/TO/2023/100819
BIGTEN SAFARIS LIMITED,,,info@bigtensafarisuganda.com,bigtensafarisuganda.com,UTB/RTT/TO/2022/100482
BLACKSMITH SAFARIS,,,kakandelawrence555@gmail.com,,UTB/RTT/TO/2025/102148
BLUE ADVENTURE SAFARI,,,blueadventuresncampers@gmail.com,,UTB/RTT/TO/2022/100420
BONOBOS AFRICAN SAFARI HOLIDAYS,,,bonobosafricansafariholidays@gmail.com,,UTB/RTT/TO/2024/101031
Borassus Safaris,,,info@borassussafaris.com,borassussafaris.com,UTB/RTT/TO/2023/100702
Broadbill Safaris,,,info@broadbillsafaris.com,broadbillsafaris.com,UTB/RTT/TO/2021/001042
Bespoke Excursions,,,davistushabe@gmail.com,,UTB/RTT/TO/2024/101080
Buffalo Safari Camps,,,info@buffalosafaricamps.com,buffalosafaricamps.com,UTB/RTT/TO/2019/00401
Bujuku Eco Tours & Travel Ltd,,,info@bujukuecotours.com,bujukuecotours.com,UTB/RTT/TO/2022/100300
Bushcraft Safaris,,,info@bushcraftsafaris.com,bushcraftsafaris.com,UTB/RTT/TO/2025/101744
Bushman Safaris `,,,info@bushmansafaris.com,bushmansafaris.com,UTB/RTT/TO/2019/00437
Bush-shrike Adventures,,,bushshrikeadventures@gmail.com,,UTB/RTT/TO/2022/100304
Buyaga Safaris,,,buyagasafarisafrica@gmail.com,,UTB/RTT/TO/2019/00441
CANAAN TRAVELS,,,info@canaantravels.com,canaantravels.com,UTB/RTT/TO/2021/00787
CANDREM EXPEDITIONS TOURS AND TRAVEL,,,candremugandaholidays@gmail.com,,UTB/RTT/TO/2024/101213
Canyon Safaris Uganda,,,canyonsafaris@gmail.com,,UTB/RTT/TO/2025/101838
CERTRIFFIC TOURS,,,kisitudenis9@gmail.com,,UTB/RTT/TO/2025/101879
CHAUFFER'S ON TRAVEL,,,info@chauffersontravel.com,chauffersontravel.com,UTB/RTT/TO/2023/100910
Cheetah Safaris Uganda,,,robert@cheetahafricasafaris.com,cheetahafricasafaris.com,UTB/RTT/TO/2019/00240
Chigo Tours Africa Limited,,,info@chigotours.com,chigotours.com,UTB/RTT/TO/2019/0079
CHRISTOPHER AUSTRIA SAFARIS,,,chris@chrisaustria.com,chrisaustria.com,UTB/RTT/TO/2023/100773
Clarks Travels Limited,,,info@clarkstravel.co.ug,clarkstravel.co.ug,UTB/RTT/TO/2020/00237
Classic Africa Safaris (U) Limited,,,mel@classicafricasafaris.travel,classicafricasafaris.travel,UTB/RTT/TO/2019/002
Climax Nature Experience,,,info@climaxnature.com,climaxnature.com,UTB/RTT/TO/2022/100335
COBALT TOURS & TRAVEL LTD,,,info@cobalttoursandtravel.com,cobalttoursandtravel.com,UTB/RTT/TO/2024/101322
CRAZY CRATER TOURS,,,info@crazytoursuganda.com,crazytoursuganda.com,UTB/RTT/TO/2024/101452
Cream Tours and Safaris,,,info@creamtoursandsafaris.com,creamtoursandsafaris.com,UTB/RTT/TO/2021/100070
MAGICAL HIKING TOURS & SAFARIS,,,info@cristalsafaris.com,cristalsafaris.com,UTB/RTT/TO/2023/100693
CROSS SECTOR TOURS LTD,,,info@crosssectortours.com,crosssectortours.com,UTB/RTT/TO/2024/101184
Cul Tours & Safaris Limited,,,info@cultoursandsafaris.com,cultoursandsafaris.com,UTB/RTT/TO/2021/00348
Darlington safaris,,,info@darlingtonsafaris.com,darlingtonsafaris.com,UTB/RTT/TO/2025/101940
Dav Safari,,,davsafaris@gmail.com,,UTB/RTT/TO/2022/100510
Decade Tours,,,decadeinvestment@gmail.com,,UTB/RTT/TO/2025/102121
DEKS SAFARIS AND TOURS,,,info@dekstours.com,dekstours.com,UTB/RTT/TO/2023/100716
Devine African Safaris Ltd,,,devinesafaris@gmail.com,,UTB/RTT/TO/2022/100408
DESTINATION NOMAD AFRICA DNA,,,dna.karamojatour@gmail.com,,UTB/RTT/TO/2025/101921
DGE TOURS AND TRAVEL,,,dgeugltd@gmail.com,,UTB/RTT/TO/2025/101759
Dolwe Safaris,,,dolwesafarisltd@gmail.com,,UTB/RTT/TO/2021/100127
Dutchess Tours,,,info@dutchessuganda.com,dutchessuganda.com,UTB/RTT/TO/2022/100548
Dyloz Tours,,,reservations@dyloztours.com,dyloztours.com,UTB/RTT/TO/2025/102009
EAGLE TOURS AND TRAVEL SERVICES,,,info@eagletoursandtravel.com,eagletoursandtravel.com,UTB/RTT/TO/2024/101171
East African Safaris Limited,,,eastafricansafarislimited@gmail.com,,UTB/RTT/TO/2022/100302
Nature Trails East Africa,,,info@eastafricantrails.com,eastafricantrails.com,UTB/RTT/TO/2020/00500
Echuya adventures,,,echuyaadventures@gmail.com,,UTB/RTT/TO/2023/100812
ELEGANT AFRICA TRAVELS,,,elegantafricatravels@gmail.com,,UTB/RTT/TO/2023/100745
ELYSON ADVENTURES,,,info@elysonadventures.com,elysonadventures.com,UTB/RTT/TO/2023/100697
Emburara Safaris,,,marketing@emburarasafaris.com,emburarasafaris.com,UTB/RTT/TO/2021/00636
ENASHIPAI TOURS AND SAFARIS LIMITED,,,enashipaitoursandsafaris@gmail.com,,UTB/RTT/TO/2025/102049
Enchanted Uganda Safaris,,,info@enchantedugandasafaris.com,enchantedugandasafaris.com,UTB/RTT/TO/2022/100321
ENCHANTING EXPERIENCES,,,enchantingexperiences03@gmail.com,,UTB/RTT/TO/2024/101090
ENGERO TOURS LIMITED,,,janemarykabanza@gmail.com,,UTB/RTT/TO/2026/102306
ENGOOBE ADVENTURES,,,info@engoobeadventures.com,engoobeadventures.com,UTB/RTT/TO/2023/100829
ENGOZI SAFARIS UGANDA,,,booking@engozisafarisuganda.com,engozisafarisuganda.com,UTB/RTT/TO/2022/100581
ENVUBU AFRICAN SAFARIS,,,trips@envubuafricansafaris.com,envubuafricansafaris.com,UTB/RTT/TO/2025/102079
Equatorial Wild Safaris,,,office@equatorialwildsafaris.com,equatorialwildsafaris.com,UTB/RTT/TO/2023/100781
ESHANDE SAFARI'S,,,eshandesafaris@gmail.com,,UTB/RTT/TO/2025/101635
EXPERIYA TOURS,,,experiyatourcompany@gmail.com,,UTB/RTT/TO/2024/101258
EVERYTHING UGANDA,,,shamsa@tekjuice.co.uk,tekjuice.co.uk,UTB/RTT/TO/2026/102264
EXPEDIA safaris Uganda,,,okalebo.mai@gmail.com,,UTB/RTT/TO/2026/102249
Expedite Wildlife Tours,,,info@expeditewildlifetours.com,expeditewildlifetours.com,UTB/RTT/TO/2024/101153
Adventure Expeditions Ltd,,,info@expeditionsuganda.com,expeditionsuganda.com,UTB/RTT/TO/2019/00261
Experience Uganda Travel Limited,,,info@experienceuganda.com,experienceuganda.com,UTB/RTT/TO/2020/00365
Explora Journeys Africa,,,explorajourneysafrica@gmail.com,,UTB/RTT/TO/2025/102031
Explore Africa Safaris,,,contact@exploreafrica-safaris.com,exploreafrica-safaris.com,UTB/RTT/TO/2019/00541
TEENS AND TOTS SAFARIS LTD,,,reservationsteensntotssafaris@gmail.com,,UTB/RTT/TO/2025/101833
Experence The Farm Tours,,,info@farmtoursug.com,farmtoursug.com,UTB/RTT/TO/2025/101909
FIRANTE GORILLA TREKS COMPANY,,,travel@firategorillatreks.com,firategorillatreks.com,UTB/RTT/TO/2025/101599
Florius Safari's Adventure,,,info@floriussafariadventure.com,floriussafariadventure.com,UTB/RTT/TO/2022/100141
FRANK TOURS UGANDA,,,info@franktoursuganda.com,franktoursuganda.com,UTB/RTT/TO/2024/100977
FRENA ADVENTURES,,,info@frenaadventures.com,frenaadventures.com,UTB/RTT/TO/2023/100840
Freundlich Safaris Uganda,,,freunlich333@gmail.com,,UTB/RTT/TO/2025/101884
GALÈNÈ HOLIDAYS AFRICA LIMITED,,,galeneholidaysafrica@gmail.com,,UTB/RTT/TO/2025/101820
GAP TRAVELS,,,gap.travelsuganda@gmail.com,,UTB/RTT/TO/2024/101141
Gazelle Safari Company Limited,,,info@gazellesafaricompany.com,gazellesafaricompany.com,UTB/RTT/TO/2019/00235
